who,problem,when,try,problem_len,input_len,output_len,diff,result,start_time,consume_time
*Geothermal,F,2024-03-22 18:31:00,1,93,136,15,2,1,2024-03-22 18:00:00,31.0
*Gilwall,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Gilwall,B,2024-03-22 17:43:00,2,95,95,23,0,1,2024-03-22 17:37:00,6.0
*Golovanov399,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*Golovanov399,B,2024-03-22 17:39:00,1,95,95,23,0,1,2024-03-22 17:37:00,2.0
*Golovanov399,C,2024-03-22 17:46:00,1,95,116,44,1,1,2024-03-22 17:39:00,7.0
*Golovanov399,D,2024-03-22 17:57:00,2,115,96,25,1,1,2024-03-22 17:46:00,11.0
*Golovanov399,E,2024-03-22 18:01:00,1,121,128,20,2,1,2024-03-22 17:57:00,4.0
*Golovanov399,F,2024-03-22 18:32:00,1,93,136,15,2,1,2024-03-22 18:01:00,31.0
*Gondal_Shameer,A,2024-03-22 18:23:00,4,139,85,21,0,0,2024-03-22 17:35:00,48.0
*Gondal_Shameer,B,2024-03-22 19:33:00,1,95,95,23,0,0,2024-03-22 18:23:00,70.0
*HFlenz,A,2024-03-22 17:46:00,2,139,85,21,0,0,2024-03-22 17:35:00,11.0
*HFlenz,B,2024-03-22 18:56:00,1,95,95,23,0,0,2024-03-22 17:46:00,70.0
*HFlenz,C,2024-03-22 18:57:00,1,95,116,44,1,0,2024-03-22 18:56:00,1.0
*HHH666666,A,2024-03-22 17:59:00,1,139,85,21,0,1,2024-03-22 17:35:00,24.0
*HHH666666,B,2024-03-22 18:09:00,2,95,95,23,0,1,2024-03-22 17:59:00,10.0
*HHH666666,C,2024-03-22 18:21:00,2,95,116,44,1,1,2024-03-22 18:09:00,12.0
*HHH666666,D,2024-03-22 18:36:00,1,115,96,25,1,1,2024-03-22 18:21:00,15.0
*HHH666666,E,2024-03-22 19:05:00,1,121,128,20,2,1,2024-03-22 18:36:00,29.0
*HHY_zZhu,A,2024-03-22 17:37:00,1,139,85,21,0,1,2024-03-22 17:35:00,2.0
*HHY_zZhu,B,2024-03-22 17:42:00,1,95,95,23,0,1,2024-03-22 17:37:00,5.0
*HHY_zZhu,C,2024-03-22 17:49:00,2,95,116,44,1,1,2024-03-22 17:42:00,7.0
*HHY_zZhu,D,2024-03-22 18:27:00,3,115,96,25,1,1,2024-03-22 17:49:00,38.0
*HHY_zZhu,E,2024-03-22 19:10:00,1,121,128,20,2,1,2024-03-22 18:27:00,43.0
*HRe,A,2024-03-22 17:58:00,1,139,85,21,0,0,2024-03-22 17:35:00,23.0
*HRe,B,2024-03-22 18:56:00,1,95,95,23,0,0,2024-03-22 17:58:00,58.0
*HY_2024_CM,A,2024-03-22 17:39:00,1,139,85,21,0,0,2024-03-22 17:35:00,4.0
*HY_2024_CM,B,2024-03-22 17:51:00,2,95,95,23,0,0,2024-03-22 17:39:00,12.0
*HY_2024_CM,C,2024-03-22 18:02:00,1,95,116,44,1,0,2024-03-22 17:51:00,11.0
*HY_2024_CM,D,2024-03-22 19:04:00,1,115,96,25,1,0,2024-03-22 18:02:00,62.0
*Hamed_Ghaffari,A,2024-03-22 17:38:00,1,139,85,21,0,1,2024-03-22 17:35:00,3.0
*Hamed_Ghaffari,C,2024-03-22 17:53:00,1,95,116,44,1,1,2024-03-22 17:38:00,15.0
*Hamed_Ghaffari,B,2024-03-22 17:58:00,4,95,95,23,0,1,2024-03-22 17:53:00,5.0
*Hamed_Ghaffari,D,2024-03-22 18:32:00,3,115,96,25,1,1,2024-03-22 17:58:00,34.0
*Hamed_Ghaffari,E,2024-03-22 18:50:00,1,121,128,20,2,1,2024-03-22 18:32:00,18.0
*HappyPacMan,A,2024-03-22 17:45:00,1,139,85,21,0,1,2024-03-22 17:35:00,10.0
*HappyPacMan,B,2024-03-22 17:52:00,2,95,95,23,0,1,2024-03-22 17:45:00,7.0
*HappyPacMan,C,2024-03-22 18:05:00,1,95,116,44,1,1,2024-03-22 17:52:00,13.0
*HappyPacMan,D,2024-03-22 19:08:00,3,115,96,25,1,1,2024-03-22 18:05:00,63.0
*Harikimiak,A,2024-03-22 18:02:00,1,139,85,21,0,0,2024-03-22 17:35:00,27.0
*Harikimiak,B,2024-03-22 19:21:00,1,95,95,23,0,0,2024-03-22 18:02:00,79.0
*Hata_no_Kokoro,A,2024-03-22 17:44:00,1,139,85,21,0,1,2024-03-22 17:35:00,9.0
*Hata_no_Kokoro,B,2024-03-22 17:52:00,1,95,95,23,0,1,2024-03-22 17:44:00,8.0
*Hata_no_Kokoro,C,2024-03-22 18:18:00,1,95,116,44,1,1,2024-03-22 17:52:00,26.0
*Hata_no_Kokoro,D,2024-03-22 18:47:00,2,115,96,25,1,1,2024-03-22 18:18:00,29.0
*Hata_no_Kokoro,E,2024-03-22 19:22:00,1,121,128,20,2,0,2024-03-22 18:47:00,35.0
*Hayasa17,A,2024-03-22 17:41:00,1,139,85,21,0,1,2024-03-22 17:35:00,6.0
*Hayasa17,B,2024-03-22 17:53:00,1,95,95,23,0,1,2024-03-22 17:41:00,12.0
*Hayasa17,C,2024-03-22 18:02:00,1,95,116,44,1,1,2024-03-22 17:53:00,9.0
*Hayasa17,E,2024-03-22 18:52:00,4,121,128,20,2,1,2024-03-22 18:02:00,50.0
*Hayasa17,D,2024-03-22 19:14:00,1,115,96,25,1,0,2024-03-22 18:52:00,22.0
*Hijab,A,2024-03-22 17:46:00,1,139,85,21,0,0,2024-03-22 17:35:00,11.0
*Hijab,B,2024-03-22 18:21:00,3,95,95,23,0,0,2024-03-22 17:46:00,35.0
*Hisiri,A,2024-03-22 17:39:00,1,139,85,21,0,1,2024-03-22 17:35:00,4.0
*Hisiri,B,2024-03-22 17:44:00,1,95,95,23,0,1,2024-03-22 17:39:00,5.0
*Hisiri,C,2024-03-22 17:48:00,1,95,116,44,1,1,2024-03-22 17:44:00,4.0
*Hisiri,D,2024-03-22 18:13:00,2,115,96,25,1,1,2024-03-22 17:48:00,25.0
*Hisiri,E,2024-03-22 18:22:00,1,121,128,20,2,1,2024-03-22 18:13:00,9.0
*Hisiri,F,2024-03-22 19:06:00,1,93,136,15,2,1,2024-03-22 18:22:00,44.0
*Howarli,B,2024-03-22 17:57:00,2,95,95,23,0,1,2024-03-22 17:35:00,22.0
*Howarli,A,2024-03-22 17:58:00,2,139,85,21,0,1,2024-03-22 17:57:00,1.0
*Howarli,C,2024-03-22 18:12:00,1,95,116,44,1,0,2024-03-22 17:58:00,14.0
*Howarli,E,2024-03-22 19:33:00,1,121,128,20,2,0,2024-03-22 18:12:00,81.0
*Hyperbolic,A,2024-03-22 17:38:00,1,139,85,21,0,1,2024-03-22 17:35:00,3.0
*Hyperbolic,B,2024-03-22 17:42:00,2,95,95,23,0,1,2024-03-22 17:38:00,4.0
*Hyperbolic,C,2024-03-22 17:49:00,1,95,116,44,1,1,2024-03-22 17:42:00,7.0
*Hyperbolic,D,2024-03-22 17:59:00,1,115,96,25,1,1,2024-03-22 17:49:00,10.0
*Hyperbolic,E,2024-03-22 18:07:00,2,121,128,20,2,1,2024-03-22 17:59:00,8.0
*Iftekhar_Hakim_K,A,2024-03-22 17:38:00,1,139,85,21,0,1,2024-03-22 17:35:00,3.0
